order,name,version,direct,selection_reason,filename,selected_tag,size_bytes,sha256,url,source_index,requires_python,upload_time_iso_8601
49,mdurl,0.1.2,False,VERIFIED_HOST_VERSION,mdurl-0.1.2-py3-none-any.whl,py3-none-any,9979,84008a41e51615a49fc9966191ff91509e3c40b939176e643fd50a5c2196b8f8,https://files.pythonhosted.org/packages/b3/38/89ba8ad64ae25be8de66a6d463314cf1eb366222074cfda9ee839c56a4b4/mdurl-0.1.2-py3-none-any.whl,https://pypi.org/simple,>=3.7,2022-08-14T12:40:09.779676Z
50,mpmath,1.3.0,False,VERIFIED_HOST_VERSION,mpmath-1.3.0-py3-none-any.whl,py3-none-any,536198,a0b2b9fe80bbcd81a6647ff13108738cfb482d481d826cc0e02f5b35e5c88d2c,https://files.pythonhosted.org/packages/43/e3/7d92a15f894aa0c9c4b49b8ee9ac9850d6e63b03c9c32c0367a13ae62209/mpmath-1.3.0-py3-none-any.whl,https://pypi.org/simple,,2023-03-07T16:47:09.197171Z
51,multidict,6.7.1,False,VERIFIED_HOST_VERSION,multidict-6.7.1-cp314-cp314-win_amd64.whl,cp314-cp314-win_amd64,45074,5e01429a929600e7dab7b166062d9bb54a5eed752384c7384c968c2afab8f50f,https://files.pythonhosted.org/packages/e0/bf/52f25716bbe93745595800f36fb17b73711f14da59ed0bb2eba141bc9f0f/multidict-6.7.1-cp314-cp314-win_amd64.whl,https://pypi.org/simple,>=3.9,2026-01-26T02:45:37.546702Z
52,networkx,3.6.1,False,VERIFIED_HOST_VERSION,networkx-3.6.1-py3-none-any.whl,py3-none-any,2068504,d47fbf302e7d9cbbb9e2555a0d267983d2aa476bac30e90dfbe5669bd57f3762,https://files.pythonhosted.org/packages/9e/c9/b2622292ea83fbb4ec318f5b9ab867d0a28ab43c5717bb85b0a5f6b3b0a4/networkx-3.6.1-py3-none-any.whl,https://pypi.org/simple,"!=3.14.1,>=3.11",2025-12-08T17:02:38.159362Z
53,numpy,2.5.0,True,DIRECT_PIN_VERIFIED_HOST,numpy-2.5.0-cp314-cp314-win_amd64.whl,cp314-cp314-win_amd64,12551749,ebb81d9d5443e0309d6c54894c3fbed74ad7da0714352a67b6d773cd189eae73,https://files.pythonhosted.org/packages/f2/9e/4dd1459282229a72d92dece2ae9138e5cac94a72263a7ceb48f37434c925/numpy-2.5.0-cp314-cp314-win_amd64.whl,https://pypi.org/simple,>=3.12,2026-06-21T20:57:25.945155Z
54,packaging,26.2,False,VERIFIED_HOST_VERSION,packaging-26.2-py3-none-any.whl,py3-none-any,100195,5fc45236b9446107ff2415ce77c807cee2862cb6fac22b8a73826d0693b0980e,https://files.pythonhosted.org/packages/df/b2/87e62e8c3e2f4b32e5fe99e0b86d576da1312593b39f47d8ceef365e95ed/packaging-26.2-py3-none-any.whl,https://pypi.org/simple,>=3.8,2026-04-24T20:15:22.081511Z
55,pillow,12.3.0,True,DIRECT_PIN_VERIFIED_HOST,pillow-12.3.0-cp314-cp314-win_amd64.whl,cp314-cp314-win_amd64,7237707,fdafc9cce40277e0f7a0feabce0ee50dd2fa1800f3b38015e51296b5e814048d,https://files.pythonhosted.org/packages/f1/e0/492879f69d94f91f60fc8cd05ba03650e9520afebb2fb7aa12777d7c7f38/pillow-12.3.0-cp314-cp314-win_amd64.whl,https://pypi.org/simple,>=3.10,2026-07-01T11:55:12.745192Z
56,propcache,0.5.2,False,VERIFIED_HOST_VERSION,propcache-0.5.2-cp314-cp314-win_amd64.whl,cp314-cp314-win_amd64,42373,81e3a30b0bb60caa22033dd0f8a3618d1d67356212514f62c57db75cb0ef410c,https://files.pythonhosted.org/packages/61/d2/45c9defbaa1ea297035d9d4cce9e8f80daafbf19319c6007f157c6256ea9/propcache-0.5.2-cp314-cp314-win_amd64.whl,https://pypi.org/simple,>=3.10,2026-05-08T21:01:43.041730Z
57,psutil,7.2.2,True,DIRECT_PIN_VERIFIED_HOST,psutil-7.2.2-cp37-abi3-win_amd64.whl,cp37-abi3-win_amd64,137737,eb7e81434c8d223ec4a219b5fc1c47d0417b12be7ea866e24fb5ad6e84b3d988,https://files.pythonhosted.org/packages/b4/90/e2159492b5426be0c1fef7acba807a03511f97c5f86b3caeda6ad92351a7/psutil-7.2.2-cp37-abi3-win_amd64.whl,https://pypi.org/simple,>=3.6,2026-01-28T18:15:33.849193Z
58,pycparser,3.0,False,VERIFIED_HOST_VERSION,pycparser-3.0-py3-none-any.whl,py3-none-any,48172,b727414169a36b7d524c1c3e31839a521725078d7b2ff038656844266160a992,https://files.pythonhosted.org/packages/0c/c3/44f3fbbfa403ea2a7c779186dc20772604442dde72947e7d01069cbe98e3/pycparser-3.0-py3-none-any.whl,https://pypi.org/simple,>=3.10,2026-01-21T14:26:50.693739Z
